T	i	0.032249628510297
V	være	0.0309023882233708
C	og	0.029584070147617
P	en	0.0253413695013101
P	den	0.0248728148892572
T	på	0.015317332743123
T	til	0.0152345449047462
P	det	0.0147142978135353
U	at	0.0144963754376622
T	af	0.014170235977948
V	have	0.0140934123500734
T	for	0.0129301853650797
U	der	0.0128845253628547
C	at	0.011278715729397
T	med	0.0112559613902453
U	som	0.00993016245145217
D	ikke	0.00924948128349906
V	kunne	0.00683057749963222
V	blive	0.00639838386415867
P	han	0.00637814400520722
T	om	0.00608436283368115
C	men	0.0059133781800624
P	jeg	0.00562501053649693
P	vi	0.0055465041411037
T	fra	0.0052027132579383
P	de	0.00480804112836732
V	skulle	0.0046022394572786
D	så	0.00421324823252209
P	man	0.00420141424674695
V	ville	0.00415166849863995
P	sig	0.00412947508199444
A	megen	0.00412218308941364
V	få	0.0038199550848528
V	sige	0.00371345490174574
NC	år	0.00356199786065066
D	også	0.00327688538805939
P	anden	0.0031128991813691
A	god	0.00308912198352957
P	nogen	0.00296124985649401
A	stor	0.00290030044932271
T	ved	0.00285180852799431
V	komme	0.00275501810689139
P	sin	0.00271302742532063
D	hvor	0.00266269344813511
P	hun	0.00241558603533108
C	eller	0.00220188480042765
P	al	0.00214799072887712
D	ud	0.00214308919914735
A	ny	0.00209077208214777
D	nu	0.00207583652486767
A	hel	0.00207101350153329
V	gå	0.00205269420483436
T	efter	0.00205160876858501
V	gøre	0.00198826320969345
V	se	0.0019684192960405
A	dansk	0.00194330748947929
L	to	0.00191086386825265
C	når	0.00186645996835394
T	over	0.00184784940155036
D	op	0.00183163271091935
P	denne	0.00177724939661492
NC	dag	0.00175620968264954
A	mangen	0.00174429377715746
C	hvis	0.00169704202932151
V	tage	0.00155983788119877
C	da	0.00155450399740741
NC	krone	0.00145841330721995
A	mange	0.00143374864578032
D	her	0.00137534102538161
P	deres	0.00135371990898078
NC	gang	0.00131850353289076
NC	tid	0.00131049815610834
V	måtte	0.00128827060624745
NP	Danmark	0.00126813200916831
V	give	0.00125211784228194
T	mod	0.00123797986446808
C	end	0.00122125117560625
V	finde	0.00120248473378573
P	hvad	0.0011985036630976
D	kun	0.00119455900117255
D	ind	0.00117035968923605
V	stå	0.00115597709004524
P	du	0.00113666110345697
T	blandt	0.00109357588344609
A	lang	0.00108060753714621
L	1	0.00106922524758804
A	første	0.00103692043477065
T	under	0.00103045674154994
C	så	0.00102367447165227
L	tre	0.00100799025918132
NC	land	0.00100779001098438
NC	sted	0.00100775929109053
P	hans	0.000952478273221386
P	selv	0.000949341430727196
NC	barn	0.000948232101227075
NC	procent	0.000947140976108493
C	fordi	0.000940558954407772
D	jo	0.000938307299965986
D	derfor	0.000928071886444864
D	lige	0.000898725285627799
D	sammen	0.000896694359312191
A	sen	0.000895314239636655
A	sidste	0.000892552862511737
NC	mand	0.000891360475520837
D	selv	0.000887934638469692
P	ingen	0.000887674088258894
T	mellem	0.000877578620920864
V	sætte	0.000847385516362168
L	2	0.000844735641074185
V	vise	0.000841375794906124
V	holde	0.000835030430165428
A	lidt	0.000827230990449188
A	lille	0.000818215270491277
C	om	0.000818054844378951
V	bruge	0.000816808982017276
A	tidlig	0.00081491231301553
P	hver	0.000810397626393496
V	mene	0.000794900008833335
A	samme	0.000794035300710163
D	både	0.000787428247984823
D	med	0.000775814990335857
NC	del	0.000775198316911174
A	gammel	0.000760630260583422
D	nok	0.000752996935848739
NC	kommune	0.00074810792163128
A	liden	0.00074554565492946
C	mens	0.000736768867479267
D	dog	0.000730570275564741
C	for	0.000726082895515018
V	skrive	0.000705179714411187
NP	København	0.000702492292586277
